event_id,target,query_split,condition,support_k_total,support_k_per_class_min,method,relative_alpha,local_rank,global_rank,gradient_rank,feature_layer,applied_ratio_mean,applied_ratio_min,applied_ratio_max,raw_scale_mean,prediction,raw_prediction,correct
valid_4,Mac,valid,lp_0-1000,20,2,fixed_mean,0.001,64,16,4,28,0.0009997132521155955,0.0009964363416656852,0.0010042168432846665,1632.7886607476644,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,fixed_mean,0.003,64,16,4,28,0.002999806951265782,0.0029872008599340916,0.003009460400789976,4896.783761399133,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,fixed_mean,0.01,64,16,4,28,0.009998036299033888,0.009964002296328545,0.010036620311439037,16336.209721973964,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,fixed_mean,0.03,64,16,4,28,0.029997350947399224,0.02989838644862175,0.030103430151939392,49189.32031358992,Farley,Farley,false
valid_4,Mac,valid,lp_0-1000,20,2,fixed_mean,0.1,64,16,4,28,0.10002185231340784,0.0997748002409935,0.10032371431589127,166116.30406079974,Louie,Louie,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_pooled,0.001,64,16,4,28,0.0010000006441259757,0.0009962159674614668,0.0010033712023869157,973.8193099669048,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_pooled,0.003,64,16,4,28,0.0030001550330780447,0.002991996007040143,0.0030111074447631836,2917.7404826028005,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_pooled,0.01,64,16,4,28,0.010001590275870902,0.009966447949409485,0.010031959041953087,9730.084358215332,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_pooled,0.03,64,16,4,28,0.030005719446177994,0.02989445999264717,0.030106764286756516,29259.02228110177,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_pooled,0.1,64,16,4,28,0.1000190634014351,0.09968069195747375,0.10035954415798187,98839.93607439313,,Macley,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_tokenwise,0.001,64,16,4,28,0.0009999096281327574,0.0009965391363948584,0.00100303057115525,372.495845922402,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_tokenwise,0.003,64,16,4,28,0.002999632652582867,0.0029886707197874784,0.0030091318767517805,1117.1574309212822,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_tokenwise,0.01,64,16,4,28,0.009999697529045599,0.0099610211327672,0.010030808858573437,3726.2958359718323,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_tokenwise,0.03,64,16,4,28,0.03000072675890156,0.029906343668699265,0.030101483687758446,11291.54423713684,,Barky.,false
valid_4,Mac,valid,lp_0-1000,20,2,conditional_tokenwise,0.1,64,16,4,28,0.09999401441642217,0.09970741719007492,0.10028623789548874,38989.3943132673,,"o and, and, and, and, and, and, and, p,, and, and, and, and,, and, and, and, and, and, and, and, and, and, p, and, and, and, and, and, and, and,, and, and, p, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and,,, and, and, and, and, ,,,, and, , and,, and, and, and, and, and, ,,,, and, , and, and, p, and,, , , , and, and, , , ,, ,, ,, , ,, , , , , ,, , , , , ,, ,, , , , ,, ,, , ,, ,, ,, ,, ,, , , ,
,
,, , ,,, , ,, , ,,,, ,,,,, ,, ,, ,, ,, , ,,,,, B, ,,, ,, ,,,, ,, ,, w, , ,, ,, , ,, , , ,, ,, , , , , , , , , ,,,, ,, ,, ,, , , ,, ,, ,, ,,,, ,, ,, ,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,, ,, ,,, , ,, , ,,, ,, ,,,,, ,, ,, ,, ,, ,,,, , ,, , ,, , ,, ,, ,, ,, ,                                                                                                                        b            the,                                                                   co                                                                 1                                     0     1                  1     1                        0                                                                                                                             1                                                       1            1                              ．      一                 ．      ；",false
valid_4,Mac,valid,lp_0-1000,20,2,token_permuted,0.001,64,16,4,28,0.0009999267889985017,0.000997077440842986,0.001003093784675002,372.52917854275023,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,token_permuted,0.003,64,16,4,28,0.00299913010842699,0.002990343840792775,0.0030084331519901752,1116.84499168396,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,token_permuted,0.01,64,16,4,28,0.010000946249679796,0.009964784607291222,0.010034705512225628,3730.2238154411316,Rudy,Rudy,false
valid_4,Mac,valid,lp_0-1000,20,2,token_permuted,0.03,64,16,4,28,0.029993915032329305,0.029879601672291756,0.03009546548128128,11235.006768362862,,"R, Luke, Mac, T

请 me





















































































































































































































































































































































































































































































































































































































































































, Luke, Mac,",false
