event_id,target,target_output,support_k_per_class,support_k_total,method,readout,raw_prediction,candidate_scores_json,prediction,correct
31471,Tsik,A,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-1.3255624771118164,""mean_token_logprob"":-1.3255624771118164,""token_logprobs"":[-1.3255624771118164]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.5755624771118164,""mean_token_logprob"":-3.5755624771118164,""token_logprobs"":[-3.5755624771118164]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-2.3880624771118164,""mean_token_logprob"":-2.3880624771118164,""token_logprobs"":[-2.3880624771118164]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-5.263062477111816,""mean_token_logprob"":-5.263062477111816,""token_logprobs"":[-5.263062477111816]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.1380624771118164,""mean_token_logprob"":-1.1380624771118164,""token_logprobs"":[-1.1380624771118164]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.3255624771118164,""mean_token_logprob"":-1.3255624771118164,""token_logprobs"":[-1.3255624771118164]}]",A,true
31828,Seep,E,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-1.5434017181396484,""mean_token_logprob"":-1.5434017181396484,""token_logprobs"":[-1.5434017181396484]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.0434017181396484,""mean_token_logprob"":-3.0434017181396484,""token_logprobs"":[-3.0434017181396484]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.9184017181396484,""mean_token_logprob"":-1.9184017181396484,""token_logprobs"":[-1.9184017181396484]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-6.074651718139648,""mean_token_logprob"":-6.074651718139648,""token_logprobs"":[-6.074651718139648]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.4184017181396484,""mean_token_logprob"":-1.4184017181396484,""token_logprobs"":[-1.4184017181396484]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.1684017181396484,""mean_token_logprob"":-1.1684017181396484,""token_logprobs"":[-1.1684017181396484]}]",B,false
34756,Phee,D,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-1.3134069442749023,""mean_token_logprob"":-1.3134069442749023,""token_logprobs"":[-1.3134069442749023]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.2509069442749023,""mean_token_logprob"":-3.2509069442749023,""token_logprobs"":[-3.2509069442749023]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.9384069442749023,""mean_token_logprob"":-1.9384069442749023,""token_logprobs"":[-1.9384069442749023]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-5.438406944274902,""mean_token_logprob"":-5.438406944274902,""token_logprobs"":[-5.438406944274902]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.4384069442749023,""mean_token_logprob"":-1.4384069442749023,""token_logprobs"":[-1.4384069442749023]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.3134069442749023,""mean_token_logprob"":-1.3134069442749023,""token_logprobs"":[-1.3134069442749023]}]",C,false
36485,Phee,D,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-1.5082520246505737,""mean_token_logprob"":-1.5082520246505737,""token_logprobs"":[-1.5082520246505737]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.5082521438598633,""mean_token_logprob"":-3.5082521438598633,""token_logprobs"":[-3.5082521438598633]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.8207520246505737,""mean_token_logprob"":-1.8207520246505737,""token_logprobs"":[-1.8207520246505737]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-2.6332521438598633,""mean_token_logprob"":-2.6332521438598633,""token_logprobs"":[-2.6332521438598633]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.4457520246505737,""mean_token_logprob"":-1.4457520246505737,""token_logprobs"":[-1.4457520246505737]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.3832520246505737,""mean_token_logprob"":-1.3832520246505737,""token_logprobs"":[-1.3832520246505737]}]",B,false
36522,Twitter,B,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-1.1453548669815063,""mean_token_logprob"":-1.1453548669815063,""token_logprobs"":[-1.1453548669815063]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.457854747772217,""mean_token_logprob"":-3.457854747772217,""token_logprobs"":[-3.457854747772217]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-2.207854747772217,""mean_token_logprob"":-2.207854747772217,""token_logprobs"":[-2.207854747772217]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-2.770354747772217,""mean_token_logprob"":-2.770354747772217,""token_logprobs"":[-2.770354747772217]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.4578548669815063,""mean_token_logprob"":-1.4578548669815063,""token_logprobs"":[-1.4578548669815063]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.4578548669815063,""mean_token_logprob"":-1.4578548669815063,""token_logprobs"":[-1.4578548669815063]}]",C,false
405841,Infant Cry,C,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-1.2830435037612915,""mean_token_logprob"":-1.2830435037612915,""token_logprobs"":[-1.2830435037612915]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.908043384552002,""mean_token_logprob"":-3.908043384552002,""token_logprobs"":[-3.908043384552002]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.8455435037612915,""mean_token_logprob"":-1.8455435037612915,""token_logprobs"":[-1.8455435037612915]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-3.970543384552002,""mean_token_logprob"":-3.970543384552002,""token_logprobs"":[-3.970543384552002]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.4705435037612915,""mean_token_logprob"":-1.4705435037612915,""token_logprobs"":[-1.4705435037612915]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.3455435037612915,""mean_token_logprob"":-1.3455435037612915,""token_logprobs"":[-1.3455435037612915]}]",C,true
408631,Phee,D,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-1.586656928062439,""mean_token_logprob"":-1.586656928062439,""token_logprobs"":[-1.586656928062439]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.6491570472717285,""mean_token_logprob"":-3.6491570472717285,""token_logprobs"":[-3.6491570472717285]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.961656928062439,""mean_token_logprob"":-1.961656928062439,""token_logprobs"":[-1.961656928062439]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-2.0866570472717285,""mean_token_logprob"":-2.0866570472717285,""token_logprobs"":[-2.0866570472717285]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.461656928062439,""mean_token_logprob"":-1.461656928062439,""token_logprobs"":[-1.461656928062439]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.399156928062439,""mean_token_logprob"":-1.399156928062439,""token_logprobs"":[-1.399156928062439]}]",B,false
50919,Tsik,A,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-1.2673659324645996,""mean_token_logprob"":-1.2673659324645996,""token_logprobs"":[-1.2673659324645996]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.3298659324645996,""mean_token_logprob"":-3.3298659324645996,""token_logprobs"":[-3.3298659324645996]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.7048659324645996,""mean_token_logprob"":-1.7048659324645996,""token_logprobs"":[-1.7048659324645996]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-5.7986159324646,""mean_token_logprob"":-5.7986159324646,""token_logprobs"":[-5.7986159324646]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.5173659324645996,""mean_token_logprob"":-1.5173659324645996,""token_logprobs"":[-1.5173659324645996]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.3923659324645996,""mean_token_logprob"":-1.3923659324645996,""token_logprobs"":[-1.3923659324645996]}]",C,false
51436,Trill,F,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-1.354876160621643,""mean_token_logprob"":-1.354876160621643,""token_logprobs"":[-1.354876160621643]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.6048760414123535,""mean_token_logprob"":-3.6048760414123535,""token_logprobs"":[-3.6048760414123535]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-2.0423760414123535,""mean_token_logprob"":-2.0423760414123535,""token_logprobs"":[-2.0423760414123535]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-3.1048760414123535,""mean_token_logprob"":-3.1048760414123535,""token_logprobs"":[-3.1048760414123535]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.479876160621643,""mean_token_logprob"":-1.479876160621643,""token_logprobs"":[-1.479876160621643]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.292376160621643,""mean_token_logprob"":-1.292376160621643,""token_logprobs"":[-1.292376160621643]}]",B,false
517703,Trill,F,0,0,audio_icl_candidate,candidate,,"[{""candidate"":""C"",""token_ids"":[34],""token_count"":1,""sequence_logprob"":-1.6601485013961792,""mean_token_logprob"":-1.6601485013961792,""token_logprobs"":[-1.6601485013961792]},{""candidate"":""D"",""token_ids"":[35],""token_count"":1,""sequence_logprob"":-3.7851486206054688,""mean_token_logprob"":-3.7851486206054688,""token_logprobs"":[-3.7851486206054688]},{""candidate"":""E"",""token_ids"":[36],""token_count"":1,""sequence_logprob"":-1.9726485013961792,""mean_token_logprob"":-1.9726485013961792,""token_logprobs"":[-1.9726485013961792]},{""candidate"":""F"",""token_ids"":[37],""token_count"":1,""sequence_logprob"":-3.4101486206054688,""mean_token_logprob"":-3.4101486206054688,""token_logprobs"":[-3.4101486206054688]},{""candidate"":""A"",""token_ids"":[32],""token_count"":1,""sequence_logprob"":-1.4101485013961792,""mean_token_logprob"":-1.4101485013961792,""token_logprobs"":[-1.4101485013961792]},{""candidate"":""B"",""token_ids"":[33],""token_count"":1,""sequence_logprob"":-1.1601485013961792,""mean_token_logprob"":-1.1601485013961792,""token_logprobs"":[-1.1601485013961792]}]",B,false
