event_id,target,support_k_per_class,support_k_total,order_mode,rotation,last_support_label,raw_prediction,prediction,correct,copies_last_support_label
31471,Tsik,8,48,interleaved,1,Infant Cry,Phee,Phee,false,false
31828,Seep,8,48,interleaved,2,Phee,Seep,Seep,true,false
34756,Phee,8,48,interleaved,5,Tsik,Twitter,Twitter,false,false
36485,Phee,8,48,interleaved,4,Trill,Tsik,Tsik,false,false
36522,Twitter,8,48,interleaved,3,Seep,Trill,Trill,false,false
405841,Infant Cry,8,48,interleaved,0,Twitter,Infant Cry,Infant Cry,true,false
408631,Phee,8,48,interleaved,1,Infant Cry,Phee,Phee,true,false
50919,Tsik,8,48,interleaved,2,Phee,Seep,Seep,false,false
51436,Trill,8,48,interleaved,1,Infant Cry,Phee,Phee,false,false
517703,Trill,8,48,interleaved,2,Phee,Seep,Seep,false,false
518079,Phee,8,48,interleaved,0,Twitter,Infant Cry,Infant Cry,false,false
521545,Phee,8,48,interleaved,0,Twitter,Infant Cry,Infant Cry,false,false
52861,Trill,8,48,interleaved,3,Seep,Trill,Trill,true,false
533988,Seep,8,48,interleaved,0,Twitter,Infant Cry,Infant Cry,false,false
54180,Phee,8,48,interleaved,1,Infant Cry,Phee,Phee,true,false
547929,Twitter,8,48,interleaved,2,Phee,Seep,Seep,false,false
547992,Phee,8,48,interleaved,2,Phee,Seep,Seep,false,false
548798,Trill,8,48,interleaved,5,Tsik,Twitter,Twitter,false,false
56195,Trill,8,48,interleaved,4,Trill,Tsik,Tsik,false,false
580149,Trill,8,48,interleaved,3,Seep,Trill,Trill,true,false
580352,Phee,8,48,interleaved,2,Phee,Seep,Seep,false,false
590590,Phee,8,48,interleaved,3,Seep,Trill,Trill,false,false
592253,Trill,8,48,interleaved,3,Seep,Trill,Trill,true,false
592286,Twitter,8,48,interleaved,1,Infant Cry,Phee,Phee,false,false
595018,Trill,8,48,interleaved,2,Phee,Seep,Seep,false,false
598116,Twitter,8,48,interleaved,3,Seep,Trill,Trill,false,false
598781,Twitter,8,48,interleaved,0,Twitter,Infant Cry,Infant Cry,false,false
609454,Infant Cry,8,48,interleaved,4,Trill,Tsik,Tsik,false,false
610080,Tsik,8,48,interleaved,2,Phee,Seep,Seep,false,false
614582,Tsik,8,48,interleaved,3,Seep,Trill,Trill,false,false
614794,Tsik,8,48,interleaved,4,Trill,Tsik,Tsik,true,false
622260,Twitter,8,48,interleaved,1,Infant Cry,Phee,Phee,false,false
622312,Tsik,8,48,interleaved,1,Infant Cry,Phee,Phee,false,false
622320,Trill,8,48,interleaved,4,Trill,Tsik,Tsik,false,false
622417,Seep,8,48,interleaved,5,Tsik,Twitter,Twitter,false,false
622758,Twitter,8,48,interleaved,2,Phee,Seep,Seep,false,false
