condition,n,accuracy,macro_f1
full_0-8k,139,0.02877697841726619,0.005594405594405594
lp_0-1000,139,0.02877697841726619,0.005594405594405594
lp_0-2000,139,0.02877697841726619,0.005594405594405594
lp_0-4000,139,0.02877697841726619,0.005594405594405594
lp_0-6000,139,0.02877697841726619,0.005594405594405594
lp_0-8000,139,0.02877697841726619,0.005594405594405594
remove_0-1000,139,0.02877697841726619,0.005594405594405594
remove_1000-2000,139,0.02877697841726619,0.005594405594405594
remove_2000-4000,139,0.02877697841726619,0.005594405594405594
remove_4000-6000,139,0.02877697841726619,0.005594405594405594
remove_6000-8000,139,0.02877697841726619,0.005594405594405594
