event_id,condition,target,baseline_prediction,base_loss,prediction_eta_0p01,correct_eta_0p01,prediction_eta_0p03,correct_eta_0p03,prediction_eta_0p1,correct_eta_0p1,prediction_eta_0p3,correct_eta_0p3,prediction_eta_1p0,correct_eta_1p0
223208,lp_0-1000,Phee,Twitter,0.8215251564979553,Twitter,false,Phee,true,Phee,true,Phee,true,,false
395548,lp_0-1000,Phee,Seep,0.6336700320243835,Phee,true,Phee,true,Phee,true,Phee,true,Phee,true
408631,lp_0-1000,Phee,Twitter,0.8350432515144348,Twitter,false,Phee,true,Phee,true,Phee,true,,false
508670,lp_0-1000,Phee,Seep,0.7031961679458618,Seep,false,Phee,true,Phee,true,Phee,true,,false
508696,lp_0-1000,Phee,Seep,0.6840494275093079,Phee,true,Phee,true,Phee,true,Phee,true,Phee,true
518079,lp_0-1000,Phee,Twitter,0.6588261127471924,Phee,true,Phee,true,Phee,true,Phee,true,Phee,true
527150,lp_0-1000,Phee,Twitter,0.766041100025177,Twitter,false,Phee,true,Phee,true,Phee,true,Phee,true
590590,lp_0-1000,Phee,Twitter,0.8655429482460022,Twitter,false,Phee,true,Phee,true,Phee,true,,false
631485,lp_0-1000,Phee,Twitter,0.7844305634498596,Phee,true,Phee,true,Phee,true,Phee,true,,false
638580,lp_0-1000,Phee,Seep,0.6327230930328369,Phee,true,Phee,true,Phee,true,Phee,true,Phee,true
657440,lp_0-1000,Phee,Seep,0.6570505499839783,Phee,true,Phee,true,Phee,true,Phee,true,Phee,true
704199,lp_0-1000,Phee,Twitter,0.7752673029899597,Twitter,false,Phee,true,Phee,true,Phee,true,,false
706021,lp_0-1000,Phee,Twitter,0.7173513174057007,Phee,true,Phee,true,Phee,true,Phee,true,Phee,true
708365,lp_0-1000,Phee,Seep,0.7072409987449646,Phee,true,Phee,true,Phee,true,Phee,true,Phee,true
788000,lp_0-1000,Phee,Twitter,0.7741985321044922,Twitter,false,Phee,true,Phee,true,Phee,true,,false
851005,lp_0-1000,Phee,Seep,0.586347222328186,Phee,true,Phee,true,Phee,true,Phee,true,Phee,true
857896,lp_0-1000,Phee,Twitter,0.7124333381652832,Phee,true,Phee,true,Phee,true,Phee,true,Phee,true
862343,lp_0-1000,Phee,Seep,0.8087588548660278,Seep,false,Phee,true,Phee,true,Phee,true,Phee,true
508896,lp_0-1000,Seep,Phee,0.524658739566803,Seep,true,Seep,true,Seep,true,Seep,true,Seep,true
509055,lp_0-1000,Seep,Phee,0.5483164191246033,Phee,false,Phee,false,Seep,true,Seep,true,Seep,true
539296,lp_0-1000,Seep,Phee,0.5162893533706665,Phee,false,Seep,true,Seep,true,Seep,true,Seep,true
582662,lp_0-1000,Seep,Phee,0.6199426651000977,Phee,false,Phee,false,Seep,true,Seep,true,Seep,true
586064,lp_0-1000,Seep,Phee,0.5900447368621826,Seep,true,Seep,true,Seep,true,Seep,true,Seep,true
623713,lp_0-1000,Seep,Phee,0.5895426869392395,Seep,true,Seep,true,Seep,true,Seep,true,Seep,true
655868,lp_0-1000,Seep,Phee,0.5494815707206726,Phee,false,Seep,true,Seep,true,Seep,true,Seep,true
