event_id,audio_path,label,recording_id,condition,source_audio_path,source_condition,sample_rate,frames,channels
223352,/root/animal-omni-kv/data/marmaudio/fair_gap_matched_silence/223352.wav,Infant Cry,2019_12_0,matched_silence,/root/animal-omni-kv/data/marmaudio/expert_validation/Infant_cry_223352.wav,full_0-8k,96000,86400,1
509009,/root/animal-omni-kv/data/marmaudio/fair_gap_matched_silence/509009.wav,Phee,2022_12_3,matched_silence,/root/animal-omni-kv/data/marmaudio/expert_validation/Phee_509009.wav,full_0-8k,96000,139200,1
539296,/root/animal-omni-kv/data/marmaudio/fair_gap_matched_silence/539296.wav,Seep,2020_3_0,matched_silence,/root/animal-omni-kv/data/marmaudio/expert_validation/Seep_539296.wav,full_0-8k,96000,72000,1
649137,/root/animal-omni-kv/data/marmaudio/fair_gap_matched_silence/649137.wav,Trill,2020_11_0,matched_silence,/root/animal-omni-kv/data/marmaudio/expert_validation/Trill_649137.wav,full_0-8k,96000,105600,1
770853,/root/animal-omni-kv/data/marmaudio/fair_gap_matched_silence/770853.wav,Tsik,2023_3_5,matched_silence,/root/animal-omni-kv/data/marmaudio/expert_validation/Tsik_770853.wav,full_0-8k,96000,81600,1
293662,/root/animal-omni-kv/data/marmaudio/fair_gap_matched_silence/293662.wav,Twitter,2022_3_7,matched_silence,/root/animal-omni-kv/data/marmaudio/expert_validation/Twitter_293662.wav,full_0-8k,96000,168001,1
31471,/root/animal-omni-kv/data/marmaudio/fair_gap_matched_silence/31471.wav,Tsik,2022_1_3,matched_silence,/root/animal-omni-kv/data/marmaudio/expert_validation/Tsik_31471.wav,full_0-8k,96000,72000,1
31828,/root/animal-omni-kv/data/marmaudio/fair_gap_matched_silence/31828.wav,Seep,2022_1_3,matched_silence,/root/animal-omni-kv/data/marmaudio/expert_validation/Seep_31828.wav,full_0-8k,96000,62400,1
34756,/root/animal-omni-kv/data/marmaudio/fair_gap_matched_silence/34756.wav,Phee,2022_1_3,matched_silence,/root/animal-omni-kv/data/marmaudio/expert_validation/Phee_34756.wav,full_0-8k,96000,110400,1
36485,/root/animal-omni-kv/data/marmaudio/fair_gap_matched_silence/36485.wav,Phee,2022_1_3,matched_silence,/root/animal-omni-kv/data/marmaudio/expert_validation/Phee_36485.wav,full_0-8k,96000,148800,1
36522,/root/animal-omni-kv/data/marmaudio/fair_gap_matched_silence/36522.wav,Twitter,2022_1_3,matched_silence,/root/animal-omni-kv/data/marmaudio/expert_validation/Twitter_36522.wav,full_0-8k,96000,100800,1
405841,/root/animal-omni-kv/data/marmaudio/fair_gap_matched_silence/405841.wav,Infant Cry,2022_4_3,matched_silence,/root/animal-omni-kv/data/marmaudio/expert_validation/Infant_cry_405841.wav,full_0-8k,96000,86400,1
408631,/root/animal-omni-kv/data/marmaudio/fair_gap_matched_silence/408631.wav,Phee,2022_4_3,matched_silence,/root/animal-omni-kv/data/marmaudio/expert_validation/Phee_408631.wav,full_0-8k,96000,168000,1
50919,/root/animal-omni-kv/data/marmaudio/fair_gap_matched_silence/50919.wav,Tsik,2022_1_5,matched_silence,/root/animal-omni-kv/data/marmaudio/expert_validation/Tsik_50919.wav,full_0-8k,96000,81600,1
51436,/root/animal-omni-kv/data/marmaudio/fair_gap_matched_silence/51436.wav,Trill,2022_1_5,matched_silence,/root/animal-omni-kv/data/marmaudio/expert_validation/Trill_51436.wav,full_0-8k,96000,91200,1
517703,/root/animal-omni-kv/data/marmaudio/fair_gap_matched_silence/517703.wav,Trill,2020_2_1,matched_silence,/root/animal-omni-kv/data/marmaudio/expert_validation/Trill_517703.wav,full_0-8k,96000,91200,1
518079,/root/animal-omni-kv/data/marmaudio/fair_gap_matched_silence/518079.wav,Phee,2020_2_1,matched_silence,/root/animal-omni-kv/data/marmaudio/expert_validation/Phee_518079.wav,full_0-8k,96000,158400,1
