event_id,audio_path,label,recording_id,provenance,annotation_tsv_label,example_annotation_agree,condition
175492,/root/animal-omni-kv/data/marmaudio/interventions/full_0-8k/175492.wav,Infant Cry,2022_3_2,official_audio_example,Infant Cry,true,full_0-8k
175492,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-1000/175492.wav,Infant Cry,2022_3_2,official_audio_example,Infant Cry,true,lp_0-1000
175492,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-2000/175492.wav,Infant Cry,2022_3_2,official_audio_example,Infant Cry,true,lp_0-2000
175492,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-4000/175492.wav,Infant Cry,2022_3_2,official_audio_example,Infant Cry,true,lp_0-4000
175492,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-6000/175492.wav,Infant Cry,2022_3_2,official_audio_example,Infant Cry,true,lp_0-6000
175492,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-8000/175492.wav,Infant Cry,2022_3_2,official_audio_example,Infant Cry,true,lp_0-8000
175492,/root/animal-omni-kv/data/marmaudio/interventions/remove_0-1000/175492.wav,Infant Cry,2022_3_2,official_audio_example,Infant Cry,true,remove_0-1000
175492,/root/animal-omni-kv/data/marmaudio/interventions/remove_1000-2000/175492.wav,Infant Cry,2022_3_2,official_audio_example,Infant Cry,true,remove_1000-2000
175492,/root/animal-omni-kv/data/marmaudio/interventions/remove_2000-4000/175492.wav,Infant Cry,2022_3_2,official_audio_example,Infant Cry,true,remove_2000-4000
175492,/root/animal-omni-kv/data/marmaudio/interventions/remove_4000-6000/175492.wav,Infant Cry,2022_3_2,official_audio_example,Infant Cry,true,remove_4000-6000
175492,/root/animal-omni-kv/data/marmaudio/interventions/remove_6000-8000/175492.wav,Infant Cry,2022_3_2,official_audio_example,Infant Cry,true,remove_6000-8000
223326,/root/animal-omni-kv/data/marmaudio/interventions/full_0-8k/223326.wav,Infant Cry,2019_12_0,official_audio_example,Infant Cry,true,full_0-8k
223326,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-1000/223326.wav,Infant Cry,2019_12_0,official_audio_example,Infant Cry,true,lp_0-1000
223326,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-2000/223326.wav,Infant Cry,2019_12_0,official_audio_example,Infant Cry,true,lp_0-2000
223326,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-4000/223326.wav,Infant Cry,2019_12_0,official_audio_example,Infant Cry,true,lp_0-4000
223326,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-6000/223326.wav,Infant Cry,2019_12_0,official_audio_example,Infant Cry,true,lp_0-6000
223326,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-8000/223326.wav,Infant Cry,2019_12_0,official_audio_example,Infant Cry,true,lp_0-8000
223326,/root/animal-omni-kv/data/marmaudio/interventions/remove_0-1000/223326.wav,Infant Cry,2019_12_0,official_audio_example,Infant Cry,true,remove_0-1000
223326,/root/animal-omni-kv/data/marmaudio/interventions/remove_1000-2000/223326.wav,Infant Cry,2019_12_0,official_audio_example,Infant Cry,true,remove_1000-2000
223326,/root/animal-omni-kv/data/marmaudio/interventions/remove_2000-4000/223326.wav,Infant Cry,2019_12_0,official_audio_example,Infant Cry,true,remove_2000-4000
223326,/root/animal-omni-kv/data/marmaudio/interventions/remove_4000-6000/223326.wav,Infant Cry,2019_12_0,official_audio_example,Infant Cry,true,remove_4000-6000
223326,/root/animal-omni-kv/data/marmaudio/interventions/remove_6000-8000/223326.wav,Infant Cry,2019_12_0,official_audio_example,Infant Cry,true,remove_6000-8000
349714,/root/animal-omni-kv/data/marmaudio/interventions/full_0-8k/349714.wav,Infant Cry,2022_3_12,official_audio_example,Infant Cry,true,full_0-8k
349714,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-1000/349714.wav,Infant Cry,2022_3_12,official_audio_example,Infant Cry,true,lp_0-1000
349714,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-2000/349714.wav,Infant Cry,2022_3_12,official_audio_example,Infant Cry,true,lp_0-2000
349714,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-4000/349714.wav,Infant Cry,2022_3_12,official_audio_example,Infant Cry,true,lp_0-4000
349714,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-6000/349714.wav,Infant Cry,2022_3_12,official_audio_example,Infant Cry,true,lp_0-6000
349714,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-8000/349714.wav,Infant Cry,2022_3_12,official_audio_example,Infant Cry,true,lp_0-8000
349714,/root/animal-omni-kv/data/marmaudio/interventions/remove_0-1000/349714.wav,Infant Cry,2022_3_12,official_audio_example,Infant Cry,true,remove_0-1000
349714,/root/animal-omni-kv/data/marmaudio/interventions/remove_1000-2000/349714.wav,Infant Cry,2022_3_12,official_audio_example,Infant Cry,true,remove_1000-2000
349714,/root/animal-omni-kv/data/marmaudio/interventions/remove_2000-4000/349714.wav,Infant Cry,2022_3_12,official_audio_example,Infant Cry,true,remove_2000-4000
349714,/root/animal-omni-kv/data/marmaudio/interventions/remove_4000-6000/349714.wav,Infant Cry,2022_3_12,official_audio_example,Infant Cry,true,remove_4000-6000
349714,/root/animal-omni-kv/data/marmaudio/interventions/remove_6000-8000/349714.wav,Infant Cry,2022_3_12,official_audio_example,Infant Cry,true,remove_6000-8000
363507,/root/animal-omni-kv/data/marmaudio/interventions/full_0-8k/363507.wav,Infant Cry,2022_3_13,official_audio_example,Twitter,false,full_0-8k
363507,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-1000/363507.wav,Infant Cry,2022_3_13,official_audio_example,Twitter,false,lp_0-1000
363507,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-2000/363507.wav,Infant Cry,2022_3_13,official_audio_example,Twitter,false,lp_0-2000
363507,/root/animal-omni-kv/data/marmaudio/interventions/lp_0-4000/363507.wav,Infant Cry,2022_3_13,official_audio_example,Twitter,false,lp_0-4000
