event_id,audio_path,label,instruction_text,dataset_name,source_dataset,license,file_name,metadata,split
1b2740e9-75d1-4fcf-ba0b-3b2144657550,/root/animal-omni-kv/data/beans/beans_zero_subset/unseen-genus-cmn/1b2740e9-75d1-4fcf-ba0b-3b2144657550.wav,Spotted Nightjar,What is the common name for the focal species in the audio?,unseen-genus-cmn,Xeno-canto,CC BY-NC,XC434556-Nightjar_Spotted_MX275_Carnarvon_DuskA_22ndAug18.flac,"{""recordist"": ""Marc Anderson"", ""url"": ""https://xeno-canto.org/sounds/uploaded/EHGWCIGILC/XC434556-Nightjar_Spotted_MX275_Carnarvon_DuskA_22ndAug18.mp3"", ""source"": ""Xeno-canto"", ""duration"": 11.313625, ""sample_rate"": 16000}",test
10429e46-a247-45e5-98a4-d489e64af8de,/root/animal-omni-kv/data/beans/beans_zero_subset/unseen-species-tax/10429e46-a247-45e5-98a4-d489e64af8de.wav,Chordata Aves Passeriformes Sittidae Sitta castanea,What is the taxonomic name of the focal species in the audio?,unseen-species-tax,Xeno-canto,CC BY-NC,XC172341-cbnh-thattakarai.flac,"{""recordist"": ""Patrick David"", ""url"": ""https://xeno-canto.org/sounds/uploaded/NJSRNNMTAW/XC172341-cbnh-thattakarai.mp3"", ""source"": ""Xeno-canto"", ""duration"": 78.312, ""sample_rate"": 16000}",test
9775a19a-e297-49be-a0af-7805e240158a,/root/animal-omni-kv/data/beans/beans_zero_subset/unseen-genus-sci/9775a19a-e297-49be-a0af-7805e240158a.wav,Aphelocephala pectoralis,What is the scientific name for the focal species in the audio?,unseen-genus-sci,Xeno-canto,CC BY-NC,XC326241-Chestnut-breasted%20Whiteface%20AUDIO.flac,"{""recordist"": ""Pieter de Groot Boersma"", ""url"": ""https://xeno-canto.org/sounds/uploaded/EYDMHIJPXV/XC326241-Chestnut-breasted%20Whiteface%20AUDIO.mp3"", ""source"": ""Xeno-canto"", ""duration"": 4.6236875, ""sample_rate"": 16000}",test
82d44d06-c56a-46d6-b780-105bdb8340e0,/root/animal-omni-kv/data/beans/beans_zero_subset/unseen-species-tax/82d44d06-c56a-46d6-b780-105bdb8340e0.wav,Chordata Aves Passeriformes Hirundinidae Progne dominicensis,What is the taxonomic name of the focal species in the audio?,unseen-species-tax,Xeno-canto,CC BY-NC,XC351512-Caribbean%20Martin%202%2012062016%201525.flac,"{""recordist"": ""Jack Baddams"", ""url"": ""https://xeno-canto.org/sounds/uploaded/RVSRPULNLV/XC351512-Caribbean%20Martin%202%2012062016%201525.mp3"", ""source"": ""Xeno-canto"", ""duration"": 24.8424375, ""sample_rate"": 16000}",test
0cdc2077-89cd-4b0c-a76c-4d637b5dd9e7,/root/animal-omni-kv/data/beans/beans_zero_subset/unseen-genus-sci/0cdc2077-89cd-4b0c-a76c-4d637b5dd9e7.wav,Cryptotympana facialis,What is the scientific name for the focal species in the audio?,unseen-genus-sci,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,272249.flac,"{""recordist"": ""hachiichi"", ""url"": ""https://static.inaturalist.org/sounds/272249.m4a?1625963058"", ""source"": ""iNaturalist"", ""exclude_from_release"": true, ""duration"": 10.541875, ""sample_rate"": 16000}",test
5fa62c17-f1a2-47cf-b292-9a92d0320402,/root/animal-omni-kv/data/beans/beans_zero_subset/unseen-genus-cmn/5fa62c17-f1a2-47cf-b292-9a92d0320402.wav,Princess Stephanie's Astrapia,What is the common name for the focal species in the audio?,unseen-genus-cmn,Xeno-canto,CC BY-NC,XC279454-Astraphia_stephaniaei_4Aug1999_1010hrs_call.flac,"{""recordist"": ""John V. Moore"", ""url"": ""https://xeno-canto.org/sounds/uploaded/YKKDTZHLUU/XC279454-Astraphia_stephaniaei_4Aug1999_1010hrs_call.mp3"", ""source"": ""Xeno-canto"", ""duration"": 2.638375, ""sample_rate"": 16000}",test
024aa490-7ae1-4043-b6b0-71b7c9081e0d,/root/animal-omni-kv/data/beans/beans_zero_subset/unseen-genus-cmn/024aa490-7ae1-4043-b6b0-71b7c9081e0d.wav,Goldenface,What is the common name for the focal species in the audio?,unseen-genus-cmn,Xeno-canto,CC BY-NC,XC557715-Pachycare%20flavogriseum%20subaurantium_iw_091211_03.flac,"{""recordist"": ""Iain Woxvold"", ""url"": ""https://xeno-canto.org/sounds/uploaded/IASEWSJZCS/XC557715-Pachycare%20flavogriseum%20subaurantium_iw_091211_03.mp3"", ""source"": ""Xeno-canto"", ""duration"": 31.84325, ""sample_rate"": 16000}",test
ac2c9444-f96d-498a-8832-697369194bb6,/root/animal-omni-kv/data/beans/beans_zero_subset/unseen-genus-tax/ac2c9444-f96d-498a-8832-697369194bb6.wav,Chordata Aves Apodiformes Trochilidae Lesbia victoriae,What is the taxonomic name of the focal species in the audio?,unseen-genus-tax,Xeno-canto,CC BY-NC,XC147231-Lesbia%20victoriae%20hembra.flac,"{""recordist"": ""JUAN ANTONIO ALONSO DE JUAN"", ""url"": ""https://xeno-canto.org/sounds/uploaded/VLMCJBSWEF/XC147231-Lesbia%20victoriae%20hembra.mp3"", ""source"": ""Xeno-canto"", ""duration"": 2.6645, ""sample_rate"": 16000}",test
22955a09-1faf-4f54-8a87-a96e6229d4a8,/root/animal-omni-kv/data/beans/beans_zero_subset/unseen-species-sci/22955a09-1faf-4f54-8a87-a96e6229d4a8.wav,Buteo trizonatus,What is the scientific name for the focal species in the audio?,unseen-species-sci,Xeno-canto,CC BY-NC,XC289313-Buzzard%2C%20Forest%20%281%29%3B%20Seaview%20EC%2003-11-2015.flac,"{""recordist"": ""Daniel Danckwerts"", ""url"": ""https://xeno-canto.org/sounds/uploaded/UDDNOHEKEN/XC289313-Buzzard%2C%20Forest%20%281%29%3B%20Seaview%20EC%2003-11-2015.mp3"", ""source"": ""Xeno-canto"", ""duration"": 53.7890625, ""sample_rate"": 16000}",test
b44537ee-890e-4d76-8643-6874fcc003c3,/root/animal-omni-kv/data/beans/beans_zero_subset/unseen-genus-tax/b44537ee-890e-4d76-8643-6874fcc003c3.wav,Chordata Aves Psittaciformes Psittacidae Probosciger aterrimus,What is the taxonomic name of the focal species in the audio?,unseen-genus-tax,Xeno-canto,CC BY-NC,XC531313-Cockatoo_Palm1_M6MKH-342_Marwes_24thAug19.flac,"{""recordist"": ""Marc Anderson"", ""url"": ""https://xeno-canto.org/sounds/uploaded/EHGWCIGILC/XC531313-Cockatoo_Palm1_M6MKH-342_Marwes_24thAug19.mp3"", ""source"": ""Xeno-canto"", ""duration"": 26.0, ""sample_rate"": 16000}",test
