event_id,audio_path,label,instruction_text,dataset_name,source_dataset,license,file_name,metadata,split,processed_sample_rate,processed_duration,duration_protocol
1b2740e9-75d1-4fcf-ba0b-3b2144657550,/root/animal-omni-kv/data/beans/beans_zero_targets_fullscan_cap10/unseen-genus-cmn/1b2740e9-75d1-4fcf-ba0b-3b2144657550.wav,Spotted Nightjar,What is the common name for the focal species in the audio?,unseen-genus-cmn,Xeno-canto,CC BY-NC,XC434556-Nightjar_Spotted_MX275_Carnarvon_DuskA_22ndAug18.flac,"{""recordist"": ""Marc Anderson"", ""url"": ""https://xeno-canto.org/sounds/uploaded/EHGWCIGILC/XC434556-Nightjar_Spotted_MX275_Carnarvon_DuskA_22ndAug18.mp3"", ""source"": ""Xeno-canto"", ""duration"": 11.313625, ""sample_rate"": 16000}",test,16000,10.0,target_rate=16000;cap=10.0;minimum=0.1
10429e46-a247-45e5-98a4-d489e64af8de,/root/animal-omni-kv/data/beans/beans_zero_targets_fullscan_cap10/unseen-species-tax/10429e46-a247-45e5-98a4-d489e64af8de.wav,Chordata Aves Passeriformes Sittidae Sitta castanea,What is the taxonomic name of the focal species in the audio?,unseen-species-tax,Xeno-canto,CC BY-NC,XC172341-cbnh-thattakarai.flac,"{""recordist"": ""Patrick David"", ""url"": ""https://xeno-canto.org/sounds/uploaded/NJSRNNMTAW/XC172341-cbnh-thattakarai.mp3"", ""source"": ""Xeno-canto"", ""duration"": 78.312, ""sample_rate"": 16000}",test,16000,10.0,target_rate=16000;cap=10.0;minimum=0.1
9775a19a-e297-49be-a0af-7805e240158a,/root/animal-omni-kv/data/beans/beans_zero_targets_fullscan_cap10/unseen-genus-sci/9775a19a-e297-49be-a0af-7805e240158a.wav,Aphelocephala pectoralis,What is the scientific name for the focal species in the audio?,unseen-genus-sci,Xeno-canto,CC BY-NC,XC326241-Chestnut-breasted%20Whiteface%20AUDIO.flac,"{""recordist"": ""Pieter de Groot Boersma"", ""url"": ""https://xeno-canto.org/sounds/uploaded/EYDMHIJPXV/XC326241-Chestnut-breasted%20Whiteface%20AUDIO.mp3"", ""source"": ""Xeno-canto"", ""duration"": 4.6236875, ""sample_rate"": 16000}",test,16000,4.6236875,target_rate=16000;cap=10.0;minimum=0.1
82d44d06-c56a-46d6-b780-105bdb8340e0,/root/animal-omni-kv/data/beans/beans_zero_targets_fullscan_cap10/unseen-species-tax/82d44d06-c56a-46d6-b780-105bdb8340e0.wav,Chordata Aves Passeriformes Hirundinidae Progne dominicensis,What is the taxonomic name of the focal species in the audio?,unseen-species-tax,Xeno-canto,CC BY-NC,XC351512-Caribbean%20Martin%202%2012062016%201525.flac,"{""recordist"": ""Jack Baddams"", ""url"": ""https://xeno-canto.org/sounds/uploaded/RVSRPULNLV/XC351512-Caribbean%20Martin%202%2012062016%201525.mp3"", ""source"": ""Xeno-canto"", ""duration"": 24.8424375, ""sample_rate"": 16000}",test,16000,10.0,target_rate=16000;cap=10.0;minimum=0.1
0cdc2077-89cd-4b0c-a76c-4d637b5dd9e7,/root/animal-omni-kv/data/beans/beans_zero_targets_fullscan_cap10/unseen-genus-sci/0cdc2077-89cd-4b0c-a76c-4d637b5dd9e7.wav,Cryptotympana facialis,What is the scientific name for the focal species in the audio?,unseen-genus-sci,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,272249.flac,"{""recordist"": ""hachiichi"", ""url"": ""https://static.inaturalist.org/sounds/272249.m4a?1625963058"", ""source"": ""iNaturalist"", ""exclude_from_release"": true, ""duration"": 10.541875, ""sample_rate"": 16000}",test,16000,10.0,target_rate=16000;cap=10.0;minimum=0.1
5fa62c17-f1a2-47cf-b292-9a92d0320402,/root/animal-omni-kv/data/beans/beans_zero_targets_fullscan_cap10/unseen-genus-cmn/5fa62c17-f1a2-47cf-b292-9a92d0320402.wav,Princess Stephanie's Astrapia,What is the common name for the focal species in the audio?,unseen-genus-cmn,Xeno-canto,CC BY-NC,XC279454-Astraphia_stephaniaei_4Aug1999_1010hrs_call.flac,"{""recordist"": ""John V. Moore"", ""url"": ""https://xeno-canto.org/sounds/uploaded/YKKDTZHLUU/XC279454-Astraphia_stephaniaei_4Aug1999_1010hrs_call.mp3"", ""source"": ""Xeno-canto"", ""duration"": 2.638375, ""sample_rate"": 16000}",test,16000,2.638375,target_rate=16000;cap=10.0;minimum=0.1
024aa490-7ae1-4043-b6b0-71b7c9081e0d,/root/animal-omni-kv/data/beans/beans_zero_targets_fullscan_cap10/unseen-genus-cmn/024aa490-7ae1-4043-b6b0-71b7c9081e0d.wav,Goldenface,What is the common name for the focal species in the audio?,unseen-genus-cmn,Xeno-canto,CC BY-NC,XC557715-Pachycare%20flavogriseum%20subaurantium_iw_091211_03.flac,"{""recordist"": ""Iain Woxvold"", ""url"": ""https://xeno-canto.org/sounds/uploaded/IASEWSJZCS/XC557715-Pachycare%20flavogriseum%20subaurantium_iw_091211_03.mp3"", ""source"": ""Xeno-canto"", ""duration"": 31.84325, ""sample_rate"": 16000}",test,16000,10.0,target_rate=16000;cap=10.0;minimum=0.1
ac2c9444-f96d-498a-8832-697369194bb6,/root/animal-omni-kv/data/beans/beans_zero_targets_fullscan_cap10/unseen-genus-tax/ac2c9444-f96d-498a-8832-697369194bb6.wav,Chordata Aves Apodiformes Trochilidae Lesbia victoriae,What is the taxonomic name of the focal species in the audio?,unseen-genus-tax,Xeno-canto,CC BY-NC,XC147231-Lesbia%20victoriae%20hembra.flac,"{""recordist"": ""JUAN ANTONIO ALONSO DE JUAN"", ""url"": ""https://xeno-canto.org/sounds/uploaded/VLMCJBSWEF/XC147231-Lesbia%20victoriae%20hembra.mp3"", ""source"": ""Xeno-canto"", ""duration"": 2.6645, ""sample_rate"": 16000}",test,16000,2.6645,target_rate=16000;cap=10.0;minimum=0.1
22955a09-1faf-4f54-8a87-a96e6229d4a8,/root/animal-omni-kv/data/beans/beans_zero_targets_fullscan_cap10/unseen-species-sci/22955a09-1faf-4f54-8a87-a96e6229d4a8.wav,Buteo trizonatus,What is the scientific name for the focal species in the audio?,unseen-species-sci,Xeno-canto,CC BY-NC,XC289313-Buzzard%2C%20Forest%20%281%29%3B%20Seaview%20EC%2003-11-2015.flac,"{""recordist"": ""Daniel Danckwerts"", ""url"": ""https://xeno-canto.org/sounds/uploaded/UDDNOHEKEN/XC289313-Buzzard%2C%20Forest%20%281%29%3B%20Seaview%20EC%2003-11-2015.mp3"", ""source"": ""Xeno-canto"", ""duration"": 53.7890625, ""sample_rate"": 16000}",test,16000,10.0,target_rate=16000;cap=10.0;minimum=0.1
b44537ee-890e-4d76-8643-6874fcc003c3,/root/animal-omni-kv/data/beans/beans_zero_targets_fullscan_cap10/unseen-genus-tax/b44537ee-890e-4d76-8643-6874fcc003c3.wav,Chordata Aves Psittaciformes Psittacidae Probosciger aterrimus,What is the taxonomic name of the focal species in the audio?,unseen-genus-tax,Xeno-canto,CC BY-NC,XC531313-Cockatoo_Palm1_M6MKH-342_Marwes_24thAug19.flac,"{""recordist"": ""Marc Anderson"", ""url"": ""https://xeno-canto.org/sounds/uploaded/EHGWCIGILC/XC531313-Cockatoo_Palm1_M6MKH-342_Marwes_24thAug19.mp3"", ""source"": ""Xeno-canto"", ""duration"": 26.0, ""sample_rate"": 16000}",test,16000,10.0,target_rate=16000;cap=10.0;minimum=0.1
d177dc10-dc69-41bf-8d19-8cb79f777a41,/root/animal-omni-kv/data/beans/beans_zero_targets_fullscan_cap10/unseen-family-tax/d177dc10-dc69-41bf-8d19-8cb79f777a41.wav,Chordata Mammalia Artiodactyla Suidae Hylochoerus meinertzhageni,What is the taxonomic name of the focal species in the audio?,unseen-family-tax,Animal Sound Archive,unknown,Hylochoerus_meinertzhageni_Band1_Cut05_short.flac,"{""recordist"": """", ""url"": ""http://www.tierstimmenarchiv.de/recordings/Hylochoerus_meinertzhageni_Band1_Cut05_short.mp3"", ""source"": ""Animal Sound Archive"", ""duration"": 20.0359375, ""sample_rate"": 16000}",test,16000,10.0,target_rate=16000;cap=10.0;minimum=0.1
9d000f16-7914-4a29-89fe-9180a90fa59b,/root/animal-omni-kv/data/beans/beans_zero_targets_fullscan_cap10/unseen-species-tax/9d000f16-7914-4a29-89fe-9180a90fa59b.wav,Chordata Aves Passeriformes Timaliidae Mixornis kelleyi,What is the taxonomic name of the focal species in the audio?,unseen-species-tax,Xeno-canto,CC BY-NC,grey-facedtitbabblersongvietFarrow.flac,"{""recordist"": ""David Farrow"", ""url"": ""https://xeno-canto.org/sounds/uploaded/RNVWOVLEUN/grey-facedtitbabblersongvietFarrow.mp3"", ""source"": ""Xeno-canto"", ""duration"": 19.3045, ""sample_rate"": 16000}",test,16000,10.0,target_rate=16000;cap=10.0;minimum=0.1
2f8aeb4d-a6c3-41b2-a9ae-275db0e3aa1e,/root/animal-omni-kv/data/beans/beans_zero_targets_fullscan_cap10/unseen-species-tax/2f8aeb4d-a6c3-41b2-a9ae-275db0e3aa1e.wav,Chordata Aves Columbiformes Columbidae Treron affinis,What is the taxonomic name of the focal species in the audio?,unseen-species-tax,Xeno-canto,CC BY-NC,XC397146-Grey%20Fronted%20Pigeon%20Swapnagandha%202.flac,"{""recordist"": ""Abhijeet Avate"", ""url"": ""https://xeno-canto.org/sounds/uploaded/NZDXFSPDPQ/XC397146-Grey%20Fronted%20Pigeon%20Swapnagandha%202.mp3"", ""source"": ""Xeno-canto"", ""duration"": 7.706125, ""sample_rate"": 16000}",test,16000,7.706125,target_rate=16000;cap=10.0;minimum=0.1
7479189c-2f76-40d2-b615-e2f20a4f3bb8,/root/animal-omni-kv/data/beans/beans_zero_targets_fullscan_cap10/unseen-genus-tax/7479189c-2f76-40d2-b615-e2f20a4f3bb8.wav,Arthropoda Insecta Orthoptera Acrididae Pseudochorthippus parallelus,What is the taxonomic name of the focal species in the audio?,unseen-genus-tax,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,532965.flac,"{""recordist"": ""david_fp"", ""url"": ""https://static.inaturalist.org/sounds/532965.wav?1662735050"", ""source"": ""iNaturalist"", ""exclude_from_release"": true, ""duration"": 18.1354375, ""sample_rate"": 16000}",test,16000,10.0,target_rate=16000;cap=10.0;minimum=0.1
2c87aeed-a68e-4a1d-924f-157345cd986d,/root/animal-omni-kv/data/beans/beans_zero_targets_fullscan_cap10/unseen-species-sci/2c87aeed-a68e-4a1d-924f-157345cd986d.wav,Knipolegus cyanirostris,What is the scientific name for the focal species in the audio?,unseen-species-sci,Xeno-canto,CC BY-NC,XC528387-13-02-2020%2011e52%20Maria%20preta%20de%20bico%20azulado%20%28Knipolegus%20cyanirostris-OK%29.flac,"{""recordist"": ""JAYRSON ARAUJO DE OLIVEIRA"", ""url"": ""https://xeno-canto.org/sounds/uploaded/LXKLWEDKEM/XC528387-13-02-2020%2011e52%20Maria%20preta%20de%20bico%20azulado%20%28Knipolegus%20cyanirostris-OK%29.mp3"", ""source"": ""Xeno-canto"", ""duration"": 1.7415, ""sample_rate"": 16000}",test,16000,1.7415,target_rate=16000;cap=10.0;minimum=0.1
7293b9a5-e1b3-4204-9545-5e16e38d4e27,/root/animal-omni-kv/data/beans/beans_zero_targets_fullscan_cap10/unseen-species-cmn/7293b9a5-e1b3-4204-9545-5e16e38d4e27.wav,Sperm Whale,What is the common name for the focal species in the audio?,unseen-species-cmn,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,347567.flac,"{""recordist"": ""Robin Gwen Agarwal"", ""url"": ""https://static.inaturalist.org/sounds/347567.m4a?1642549500"", ""source"": ""iNaturalist"", ""exclude_from_release"": true, ""duration"": 19.8530625, ""sample_rate"": 16000}",test,16000,10.0,target_rate=16000;cap=10.0;minimum=0.1
